Part     Value                     Device                    Package                   Library   Sheet

C8       470pF                     C-EUC0603K                C0603K                    rcl       1
C5       10nF                      C-EUC0603K                C0603K                    rcl       1
C21      10nF                      C-EUC0603K                C0603K                    rcl       1
C13      10nF                      C-EUC0603K                C0603K                    rcl       1
C1       0.1uF                     C-EUC0603K                C0603K                    rcl       1
C2       0.1uF                     C-EUC0603                 C0603                     rcl       1
C3       0.1uF                     C-EUC0603K                C0603K                    rcl       1
C6       0.1uF                     C-EUC0603                 C0603                     rcl       1
C9       0.1uF                     C-EUC0603K                C0603K                    rcl       1
C10      0.1uF                     C-EUC0603                 C0603                     rcl       1
C12      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C16      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C18      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C20      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C24      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C26      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C27      0.1uF                     C-EUC0603K                C0603K                    rcl       1
C14      470nF                     C-EUC0603K                C0603K                    rcl       1
C22      470nF                     C-EUC0603K                C0603K                    rcl       1
C17      4.7uF                     C-EUC0603K                C0603K                    rcl       1
C19      4.7uF                     C-EUC0603K                C0603K                    rcl       1
C23      4.7uF                     C-EUC0603K                C0603K                    rcl       1
C25      4.7uF                     C-EUC0603K                C0603K                    rcl       1
C11      10uF                      CPOL-EUSMCA               SMC_A                     rcl       1
C4       10uF                      CPOL-EUSMCA               SMC_A                     rcl       1
C7       10uF                      CPOL-EUSMCA               SMC_A                     rcl       1
C15      10uF                      CPOL-EUSMCA               SMC_A                     rcl       1
JP2                                PINHD-1X6                 1X06                      pinhead   1
JP3                                PINHD-1X6                 1X06                      pinhead   1
JP4                                PINHD-1X6                 1X06                      pinhead   1
LED_CON                            LEDCHIPLED_0805           CHIPLED_0805              led       1
LED_RXTX                           LEDCHIPLED_0805           CHIPLED_0805              led       1
LED_STAT                           LEDCHIPLED_0805           CHIPLED_0805              led       1
PB2_LED                            LEDCHIPLED_0805           CHIPLED_0805              led       1
PWR_LED                            LEDCHIPLED_0805           CHIPLED_0805              led       1
R1       330R                      R-EU_R0805                R0805                     rcl       1
R3       330R                      R-EU_R0603                R0603                     rcl       1
R8       330R                      R-EU_R0603                R0603                     rcl       1
R10      330R                      R-EU_R0603                R0603                     rcl       1
R11      330R                      R-EU_R0603                R0603                     rcl       1
R2       1K                        R-EU_R0603                R0603                     rcl       1
R5       1K                        R-EU_R0603                R0603                     rcl       1
R4       10K                       R-EU_R0603                R0603                     rcl       1
R6       10K                       R-EU_R0603                R0603                     rcl       1
R7       10K                       R-EU_R0603                R0603                     rcl       1
R9       10K                       R-EU_R0603                R0603                     rcl       1
R12      10K                       R-EU_R0603                R0603                     rcl       1
R13      10K                       R-EU_R0603                R0603                     rcl       1
R14      10K                       R-EU_R0603                R0603                     rcl       1
R15      10K                       R-EU_R0603                R0603                     rcl       1
R16      10K                       R-EU_R0603                R0603                     rcl       1
R21      10K                       R-EU_R0603                R0603                     rcl       1
R22      10K                       R-EU_R0603                R0603                     rcl       1
R23      10K                       R-EU_R0603                R0603                     rcl       1
R24      10K                       R-EU_R0603                R0603                     rcl       1
R17      33K                       R-EU_R0603                R0603                     rcl       1
R19      33K                       R-EU_R0603                R0603                     rcl       1
R27      33K                       R-EU_R0603                R0603                     rcl       1
R25      33K                       R-EU_R0603                R0603                     rcl       1
R18      1M                        R-EU_R0603                R0603                     rcl       1
R20      1M                        R-EU_R0603                R0603                     rcl       1
R26      1M                        R-EU_R0603                R0603                     rcl       1
R28      1M                        R-EU_R0603                R0603                     rcl       1
IC1      ATMEGA168-20A             ATMEGA168-20A             TQFP32-08                 avr       1
IC2      TS520533                  TS520533                  SOT25                     v-reg     1
U$1      BLUETOOTH-RN41            BLUETOOTH-RN41            RN41                      own       1
U$2      SG-310                    SG-310                    SG-310                    crystals  1
U$4      MCIPTG23K-V               MCIPTG23K-V               MCIPTG                    switch    1
U$5      LPR5XXX                   LPR5XXX                   LPR5XXX                   sensors   1
U$6      LPY5XXXX                  LPY5XXXX                  LPY5XXX                   sensors   1
U$7      2X1_JST_HEADER_SIDE-ENTRY 2X1_JST_HEADER_SIDE-ENTRY 2X1_JSP_HEADER_SIDE-ENTRY connector 1
U2       ADXL345                   ADXL345                   LGA14                     sensors   1
